title, destination, start_date, end_date, price, max_capacity, available_seats, status, refund_policy
Himalayan Trek, Manali, 2026-03-01T00:00:00.000Z, 2026-03-10T00:00:00.000Z, 12000.00, 20, 20, DRAFT, "{""refundable_until_days_before"":7,""cancellation_fee_percent"":10}"
Goa Beach Trip, Goa, 2026-02-05T00:00:00.000Z, 2026-02-10T00:00:00.000Z, 15000.00, 15, 15, PUBLISHED, "{""refundable_until_days_before"":5,""cancellation_fee_percent"":15}"
Rajasthan Heritage Tour, Jaipur, 2026-04-01T00:00:00.000Z, 2026-04-07T00:00:00.000Z, 18000.00, 25, 25, PUBLISHED, "{""refundable_until_days_before"":10,""cancellation_fee_percent"":5}"
Kerala Backwater Retreat, Alleppey, 2026-05-10T00:00:00.000Z, 2026-05-15T00:00:00.000Z, 20000.00, 12, 12, DRAFT, "{""refundable_until_days_before"":3,""cancellation_fee_percent"":20}"
Ladakh Adventure Ride, Leh, 2026-06-01T00:00:00.000Z, 2026-06-12T00:00:00.000Z, 25000.00, 10, 10, PUBLISHED, "{""refundable_until_days_before"":7,""cancellation_fee_percent"":10}"
Spiti Valley Expedition, Spiti, 2026-07-05T00:00:00.000Z, 2026-07-15T00:00:00.000Z, 23000.00, 14, 14, PUBLISHED, "{""refundable_until_days_before"":8,""cancellation_fee_percent"":12}"
Andaman Island Escape, Port Blair, 2026-08-01T00:00:00.000Z, 2026-08-07T00:00:00.000Z, 30000.00, 18, 18, DRAFT, "{""refundable_until_days_before"":6,""cancellation_fee_percent"":18}"
Meghalaya Rainforest Tour, Shillong, 2026-09-10T00:00:00.000Z, 2026-09-17T00:00:00.000Z, 17000.00, 22, 22, PUBLISHED, "{""refundable_until_days_before"":9,""cancellation_fee_percent"":8}"
Sikkim Mountain Escape, Gangtok, 2026-10-05T00:00:00.000Z, 2026-10-12T00:00:00.000Z, 19000.00, 16, 16, PUBLISHED, "{""refundable_until_days_before"":7,""cancellation_fee_percent"":10}"
Kashmir Paradise Tour, Srinagar, 2026-11-01T00:00:00.000Z, 2026-11-08T00:00:00.000Z, 21000.00, 20, 20, DRAFT, "{""refundable_until_days_before"":5,""cancellation_fee_percent"":15}"
Coorg Coffee Trail, Coorg, 2026-02-15T00:00:00.000Z, 2026-02-20T00:00:00.000Z, 14000.00, 12, 12, PUBLISHED, "{""refundable_until_days_before"":4,""cancellation_fee_percent"":10}"
Udaipur Lake Tour, Udaipur, 2026-03-15T00:00:00.000Z, 2026-03-20T00:00:00.000Z, 16000.00, 18, 18, PUBLISHED, "{""refundable_until_days_before"":6,""cancellation_fee_percent"":12}"
Varanasi Spiritual Journey, Varanasi, 2026-04-10T00:00:00.000Z, 2026-04-14T00:00:00.000Z, 9000.00, 30, 30, DRAFT, "{""refundable_until_days_before"":2,""cancellation_fee_percent"":25}"
Rishikesh Yoga Retreat, Rishikesh, 2026-05-20T00:00:00.000Z, 2026-05-25T00:00:00.000Z, 11000.00, 15, 15, PUBLISHED, "{""refundable_until_days_before"":5,""cancellation_fee_percent"":10}"
Darjeeling Tea Estate Tour, Darjeeling, 2026-06-20T00:00:00.000Z, 2026-06-25T00:00:00.000Z, 13000.00, 14, 14, DRAFT, "{""refundable_until_days_before"":6,""cancellation_fee_percent"":15}"
